ID,bounding_box,future_bounding_box,scenefolderpath,filename,crossing_obs,crossing_true,label
1.0,"[[499.0, 789.0, 68.0, 118.0], [497.5, 789.0, 69.0, 118.0], [496.0, 789.5, 70.0, 119.0], [494.5, 789.5, 71.0, 119.0], [494.0, 791.0, 72.0, 120.0], [492.5, 791.0, 73.0, 120.0], [491.0, 791.0, 74.0, 120.0], [489.0, 791.5, 74.0, 121.0], [487.5, 791.5, 75.0, 121.0], [486.0, 791.5, 76.0, 121.0], [485.5, 793.0, 77.0, 122.0], [484.0, 793.0, 78.0, 122.0], [482.5, 793.5, 79.0, 123.0], [481.0, 793.5, 80.0, 123.0], [480.5, 793.0, 79.0, 124.0], [479.0, 792.5, 78.0, 125.0]]","[[478.5, 792.0, 77.0, 126.0], [477.0, 792.0, 76.0, 128.0], [476.5, 790.5, 75.0, 129.0], [475.0, 790.0, 74.0, 130.0], [474.5, 789.5, 73.0, 131.0], [473.0, 789.0, 72.0, 132.0], [472.0, 788.5, 70.0, 133.0], [472.0, 787.5, 68.0, 133.0], [471.5, 788.0, 67.0, 134.0], [471.5, 787.0, 65.0, 134.0], [470.5, 786.5, 63.0, 135.0], [469.5, 786.5, 63.0, 137.0], [469.0, 786.0, 62.0, 138.0], [468.0, 786.0, 62.0, 140.0], [468.0, 785.0, 62.0, 142.0], [467.0, 785.0, 62.0, 144.0]]","['JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001']","['0000.png', '0001.png', '0002.png', '0003.png', '0004.png', '0005.png', '0006.png', '0007.png', '0008.png', '0009.png', '0010.png', '0011.png', '0012.png', '0013.png', '0014.png', '0015.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1.0,"[[478.5, 792.0, 77.0, 126.0], [477.0, 792.0, 76.0, 128.0], [476.5, 790.5, 75.0, 129.0], [475.0, 790.0, 74.0, 130.0], [474.5, 789.5, 73.0, 131.0], [473.0, 789.0, 72.0, 132.0], [472.0, 788.5, 70.0, 133.0], [472.0, 787.5, 68.0, 133.0], [471.5, 788.0, 67.0, 134.0], [471.5, 787.0, 65.0, 134.0], [470.5, 786.5, 63.0, 135.0], [469.5, 786.5, 63.0, 137.0], [469.0, 786.0, 62.0, 138.0], [468.0, 786.0, 62.0, 140.0], [468.0, 785.0, 62.0, 142.0], [467.0, 785.0, 62.0, 144.0]]","[[466.5, 784.5, 61.0, 145.0], [465.5, 784.5, 61.0, 147.0], [466.0, 784.0, 60.0, 150.0], [466.5, 782.0, 59.0, 152.0], [467.0, 781.5, 58.0, 155.0], [467.0, 782.0, 58.0, 156.0], [467.0, 781.0, 58.0, 156.0], [467.0, 781.5, 58.0, 157.0], [466.0, 781.5, 58.0, 157.0], [466.0, 781.0, 58.0, 158.0], [466.0, 781.0, 58.0, 158.0], [466.0, 781.5, 58.0, 159.0], [465.5, 780.5, 57.0, 159.0], [465.5, 781.0, 57.0, 160.0], [465.5, 780.0, 57.0, 160.0], [464.5, 780.5, 57.0, 161.0]]","['JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001']","['0016.png', '0017.png', '0018.png', '0019.png', '0020.png', '0021.png', '0022.png', '0023.png', '0024.png', '0025.png', '0026.png', '0027.png', '0028.png', '0029.png', '0030.png', '0031.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1.0,"[[466.5, 784.5, 61.0, 145.0], [465.5, 784.5, 61.0, 147.0], [466.0, 784.0, 60.0, 150.0], [466.5, 782.0, 59.0, 152.0], [467.0, 781.5, 58.0, 155.0], [467.0, 782.0, 58.0, 156.0], [467.0, 781.0, 58.0, 156.0], [467.0, 781.5, 58.0, 157.0], [466.0, 781.5, 58.0, 157.0], [466.0, 781.0, 58.0, 158.0], [466.0, 781.0, 58.0, 158.0], [466.0, 781.5, 58.0, 159.0], [465.5, 780.5, 57.0, 159.0], [465.5, 781.0, 57.0, 160.0], [465.5, 780.0, 57.0, 160.0], [464.5, 780.5, 57.0, 161.0]]","[[464.5, 780.5, 57.0, 161.0], [464.5, 780.0, 57.0, 162.0], [464.5, 780.0, 57.0, 162.0], [465.5, 780.0, 57.0, 162.0], [466.0, 781.5, 58.0, 163.0], [467.0, 781.5, 58.0, 163.0], [468.0, 782.0, 58.0, 164.0], [469.5, 782.0, 59.0, 164.0], [469.5, 783.5, 59.0, 165.0], [471.0, 783.5, 60.0, 165.0], [472.0, 783.5, 60.0, 165.0], [472.0, 785.0, 60.0, 166.0], [473.5, 785.0, 61.0, 166.0], [474.5, 785.5, 61.0, 167.0], [475.5, 785.5, 61.0, 167.0], [476.0, 787.0, 62.0, 168.0]]","['JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001']","['0032.png', '0033.png', '0034.png', '0035.png', '0036.png', '0037.png', '0038.png', '0039.png', '0040.png', '0041.png', '0042.png', '0043.png', '0044.png', '0045.png', '0046.png', '0047.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1.0,"[[464.5, 780.5, 57.0, 161.0], [464.5, 780.0, 57.0, 162.0], [464.5, 780.0, 57.0, 162.0], [465.5, 780.0, 57.0, 162.0], [466.0, 781.5, 58.0, 163.0], [467.0, 781.5, 58.0, 163.0], [468.0, 782.0, 58.0, 164.0], [469.5, 782.0, 59.0, 164.0], [469.5, 783.5, 59.0, 165.0], [471.0, 783.5, 60.0, 165.0], [472.0, 783.5, 60.0, 165.0], [472.0, 785.0, 60.0, 166.0], [473.5, 785.0, 61.0, 166.0], [474.5, 785.5, 61.0, 167.0], [475.5, 785.5, 61.0, 167.0], [476.0, 787.0, 62.0, 168.0]]","[[477.0, 787.0, 62.0, 168.0], [476.0, 787.5, 62.0, 169.0], [476.5, 787.5, 63.0, 169.0], [475.5, 787.0, 63.0, 170.0], [475.5, 787.0, 63.0, 170.0], [474.5, 787.5, 63.0, 171.0], [474.0, 787.5, 64.0, 171.0], [474.0, 788.0, 64.0, 172.0], [473.0, 788.5, 64.0, 173.0], [472.0, 787.5, 64.0, 173.0], [472.5, 788.0, 65.0, 174.0], [471.5, 788.0, 65.0, 174.0], [471.5, 788.5, 65.0, 175.0], [470.5, 788.5, 65.0, 175.0], [470.0, 788.0, 66.0, 176.0], [470.0, 788.0, 66.0, 176.0]]","['JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001']","['0048.png', '0049.png', '0050.png', '0051.png', '0052.png', '0053.png', '0054.png', '0055.png', '0056.png', '0057.png', '0058.png', '0059.png', '0060.png', '0061.png', '0062.png', '0063.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1.0,"[[477.0, 787.0, 62.0, 168.0], [476.0, 787.5, 62.0, 169.0], [476.5, 787.5, 63.0, 169.0], [475.5, 787.0, 63.0, 170.0], [475.5, 787.0, 63.0, 170.0], [474.5, 787.5, 63.0, 171.0], [474.0, 787.5, 64.0, 171.0], [474.0, 788.0, 64.0, 172.0], [473.0, 788.5, 64.0, 173.0], [472.0, 787.5, 64.0, 173.0], [472.5, 788.0, 65.0, 174.0], [471.5, 788.0, 65.0, 174.0], [471.5, 788.5, 65.0, 175.0], [470.5, 788.5, 65.0, 175.0], [470.0, 788.0, 66.0, 176.0], [470.0, 788.0, 66.0, 176.0]]","[[469.0, 788.5, 66.0, 177.0], [470.0, 789.0, 66.0, 178.0], [469.5, 790.0, 65.0, 178.0], [470.5, 790.5, 65.0, 179.0], [471.5, 790.5, 65.0, 179.0], [471.0, 792.0, 64.0, 180.0], [472.0, 792.0, 64.0, 180.0], [473.0, 792.5, 64.0, 181.0], [473.5, 792.5, 63.0, 181.0], [473.5, 793.0, 63.0, 182.0], [474.0, 793.0, 62.0, 182.0], [475.0, 793.5, 62.0, 183.0], [476.0, 794.0, 62.0, 184.0], [476.5, 794.0, 61.0, 184.0], [476.5, 794.5, 61.0, 185.0], [477.0, 794.5, 60.0, 185.0]]","['JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001']","['0064.png', '0065.png', '0066.png', '0067.png', '0068.png', '0069.png', '0070.png', '0071.png', '0072.png', '0073.png', '0074.png', '0075.png', '0076.png', '0077.png', '0078.png', '0079.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1.0,"[[469.0, 788.5, 66.0, 177.0], [470.0, 789.0, 66.0, 178.0], [469.5, 790.0, 65.0, 178.0], [470.5, 790.5, 65.0, 179.0], [471.5, 790.5, 65.0, 179.0], [471.0, 792.0, 64.0, 180.0], [472.0, 792.0, 64.0, 180.0], [473.0, 792.5, 64.0, 181.0], [473.5, 792.5, 63.0, 181.0], [473.5, 793.0, 63.0, 182.0], [474.0, 793.0, 62.0, 182.0], [475.0, 793.5, 62.0, 183.0], [476.0, 794.0, 62.0, 184.0], [476.5, 794.0, 61.0, 184.0], [476.5, 794.5, 61.0, 185.0], [477.0, 794.5, 60.0, 185.0]]","[[478.0, 795.0, 60.0, 186.0], [478.5, 795.5, 61.0, 187.0], [479.0, 796.0, 62.0, 188.0], [479.5, 796.5, 63.0, 189.0], [480.0, 797.0, 64.0, 190.0], [480.0, 797.0, 66.0, 192.0], [480.5, 797.5, 67.0, 193.0], [481.0, 798.0, 68.0, 194.0], [481.5, 798.5, 69.0, 195.0], [482.0, 799.0, 70.0, 196.0], [484.5, 799.5, 71.0, 197.0], [485.5, 799.5, 71.0, 197.0], [488.0, 800.0, 72.0, 198.0], [489.5, 800.0, 73.0, 198.0], [491.5, 800.5, 73.0, 199.0], [493.0, 801.5, 74.0, 199.0]]","['JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001']","['0080.png', '0081.png', '0082.png', '0083.png', '0084.png', '0085.png', '0086.png', '0087.png', '0088.png', '0089.png', '0090.png', '0091.png', '0092.png', '0093.png', '0094.png', '0095.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1.0,"[[478.0, 795.0, 60.0, 186.0], [478.5, 795.5, 61.0, 187.0], [479.0, 796.0, 62.0, 188.0], [479.5, 796.5, 63.0, 189.0], [480.0, 797.0, 64.0, 190.0], [480.0, 797.0, 66.0, 192.0], [480.5, 797.5, 67.0, 193.0], [481.0, 798.0, 68.0, 194.0], [481.5, 798.5, 69.0, 195.0], [482.0, 799.0, 70.0, 196.0], [484.5, 799.5, 71.0, 197.0], [485.5, 799.5, 71.0, 197.0], [488.0, 800.0, 72.0, 198.0], [489.5, 800.0, 73.0, 198.0], [491.5, 800.5, 73.0, 199.0], [493.0, 801.5, 74.0, 199.0]]","[[495.0, 802.0, 74.0, 200.0], [496.5, 802.0, 75.0, 200.0], [499.0, 802.5, 76.0, 201.0], [500.0, 802.5, 76.0, 201.0], [502.5, 803.0, 77.0, 202.0], [506.0, 803.5, 76.0, 203.0], [508.5, 803.0, 75.0, 204.0], [512.0, 803.5, 74.0, 205.0], [515.0, 802.5, 74.0, 205.0], [518.5, 803.0, 73.0, 206.0], [521.0, 803.5, 72.0, 207.0], [524.5, 803.0, 71.0, 208.0], [527.0, 803.5, 70.0, 209.0], [530.5, 804.0, 69.0, 210.0], [533.5, 803.0, 69.0, 210.0], [537.0, 803.5, 68.0, 211.0]]","['JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001']","['0096.png', '0097.png', '0098.png', '0099.png', '0100.png', '0101.png', '0102.png', '0103.png', '0104.png', '0105.png', '0106.png', '0107.png', '0108.png', '0109.png', '0110.png', '0111.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1.0,"[[495.0, 802.0, 74.0, 200.0], [496.5, 802.0, 75.0, 200.0], [499.0, 802.5, 76.0, 201.0], [500.0, 802.5, 76.0, 201.0], [502.5, 803.0, 77.0, 202.0], [506.0, 803.5, 76.0, 203.0], [508.5, 803.0, 75.0, 204.0], [512.0, 803.5, 74.0, 205.0], [515.0, 802.5, 74.0, 205.0], [518.5, 803.0, 73.0, 206.0], [521.0, 803.5, 72.0, 207.0], [524.5, 803.0, 71.0, 208.0], [527.0, 803.5, 70.0, 209.0], [530.5, 804.0, 69.0, 210.0], [533.5, 803.0, 69.0, 210.0], [537.0, 803.5, 68.0, 211.0]]","[[539.5, 803.0, 67.0, 212.0], [543.0, 803.5, 66.0, 213.0], [546.0, 804.0, 68.0, 214.0], [549.0, 803.0, 70.0, 214.0], [551.0, 803.5, 72.0, 215.0], [554.5, 803.0, 75.0, 216.0], [557.5, 803.0, 77.0, 216.0], [560.5, 803.5, 79.0, 217.0], [562.5, 803.0, 81.0, 218.0], [565.5, 803.5, 83.0, 219.0], [568.5, 803.5, 85.0, 219.0], [572.0, 803.0, 88.0, 220.0], [574.0, 803.5, 90.0, 221.0], [577.0, 802.5, 92.0, 221.0], [580.0, 803.0, 94.0, 222.0], [581.0, 803.0, 94.0, 222.0]]","['JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001']","['0112.png', '0113.png', '0114.png', '0115.png', '0116.png', '0117.png', '0118.png', '0119.png', '0120.png', '0121.png', '0122.png', '0123.png', '0124.png', '0125.png', '0126.png', '0127.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1.0,"[[539.5, 803.0, 67.0, 212.0], [543.0, 803.5, 66.0, 213.0], [546.0, 804.0, 68.0, 214.0], [549.0, 803.0, 70.0, 214.0], [551.0, 803.5, 72.0, 215.0], [554.5, 803.0, 75.0, 216.0], [557.5, 803.0, 77.0, 216.0], [560.5, 803.5, 79.0, 217.0], [562.5, 803.0, 81.0, 218.0], [565.5, 803.5, 83.0, 219.0], [568.5, 803.5, 85.0, 219.0], [572.0, 803.0, 88.0, 220.0], [574.0, 803.5, 90.0, 221.0], [577.0, 802.5, 92.0, 221.0], [580.0, 803.0, 94.0, 222.0], [581.0, 803.0, 94.0, 222.0]]","[[583.0, 803.5, 94.0, 221.0], [584.0, 803.5, 94.0, 221.0], [585.5, 803.0, 93.0, 220.0], [586.5, 803.0, 93.0, 220.0], [588.5, 803.5, 93.0, 219.0], [589.5, 803.5, 93.0, 219.0], [589.5, 803.5, 93.0, 219.0], [589.5, 803.5, 93.0, 219.0], [589.0, 804.0, 92.0, 220.0], [589.0, 804.0, 92.0, 220.0], [590.0, 804.0, 92.0, 220.0], [590.0, 804.0, 92.0, 220.0], [589.5, 804.0, 91.0, 220.0], [589.5, 804.5, 91.0, 221.0], [589.5, 804.5, 91.0, 221.0], [589.5, 804.5, 91.0, 221.0]]","['JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001']","['0128.png', '0129.png', '0130.png', '0131.png', '0132.png', '0133.png', '0134.png', '0135.png', '0136.png', '0137.png', '0138.png', '0139.png', '0140.png', '0141.png', '0142.png', '0143.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1.0,"[[583.0, 803.5, 94.0, 221.0], [584.0, 803.5, 94.0, 221.0], [585.5, 803.0, 93.0, 220.0], [586.5, 803.0, 93.0, 220.0], [588.5, 803.5, 93.0, 219.0], [589.5, 803.5, 93.0, 219.0], [589.5, 803.5, 93.0, 219.0], [589.5, 803.5, 93.0, 219.0], [589.0, 804.0, 92.0, 220.0], [589.0, 804.0, 92.0, 220.0], [590.0, 804.0, 92.0, 220.0], [590.0, 804.0, 92.0, 220.0], [589.5, 804.0, 91.0, 220.0], [589.5, 804.5, 91.0, 221.0], [589.5, 804.5, 91.0, 221.0], [589.5, 804.5, 91.0, 221.0]]","[[589.0, 803.5, 90.0, 221.0], [589.0, 803.5, 90.0, 221.0], [589.0, 804.0, 90.0, 222.0], [589.0, 804.0, 90.0, 222.0], [589.5, 804.0, 89.0, 222.0], [589.5, 804.0, 89.0, 222.0], [589.5, 804.0, 89.0, 222.0], [589.5, 804.5, 89.0, 223.0], [589.0, 804.5, 88.0, 223.0], [589.0, 804.5, 88.0, 223.0], [589.5, 804.5, 87.0, 223.0], [589.5, 804.5, 87.0, 223.0], [590.0, 805.5, 86.0, 223.0], [589.5, 805.5, 85.0, 223.0], [590.5, 805.5, 85.0, 223.0], [590.0, 805.0, 84.0, 222.0]]","['JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001', 'JAAD\\scene\\0001']","['0144.png', '0145.png', '0146.png', '0147.png', '0148.png', '0149.png', '0150.png', '0151.png', '0152.png', '0153.png', '0154.png', '0155.png', '0156.png', '0157.png', '0158.png', '0159.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
