frame,ID,x,y,w,h,scenefolderpath,crossing_true,filename
0,pedestrian1,759.0,655.0,20.0,56.0,JAAD\scene\0016,1,0000.png
1,pedestrian1,762.0,655.0,17.0,57.0,JAAD\scene\0016,1,0001.png
2,pedestrian1,764.0,656.0,18.0,57.0,JAAD\scene\0016,1,0002.png
3,pedestrian1,766.0,656.0,18.0,58.0,JAAD\scene\0016,1,0003.png
4,pedestrian1,768.0,656.0,18.0,58.0,JAAD\scene\0016,1,0004.png
5,pedestrian1,770.0,655.0,18.0,59.0,JAAD\scene\0016,1,0005.png
6,pedestrian1,771.0,654.0,18.0,59.0,JAAD\scene\0016,1,0006.png
7,pedestrian1,773.0,653.0,18.0,60.0,JAAD\scene\0016,1,0007.png
8,pedestrian1,774.0,652.0,18.0,61.0,JAAD\scene\0016,1,0008.png
9,pedestrian1,776.0,652.0,18.0,62.0,JAAD\scene\0016,1,0009.png
10,pedestrian1,778.0,651.0,17.0,62.0,JAAD\scene\0016,1,0010.png
11,pedestrian1,779.0,650.0,17.0,63.0,JAAD\scene\0016,1,0011.png
12,pedestrian1,781.0,649.0,17.0,64.0,JAAD\scene\0016,1,0012.png
13,pedestrian1,782.0,648.0,17.0,64.0,JAAD\scene\0016,1,0013.png
14,pedestrian1,783.0,647.0,20.0,65.0,JAAD\scene\0016,1,0014.png
15,pedestrian1,783.0,646.0,20.0,65.0,JAAD\scene\0016,1,0015.png
16,pedestrian1,782.0,645.0,23.0,66.0,JAAD\scene\0016,1,0016.png
17,pedestrian1,780.0,643.0,25.0,66.0,JAAD\scene\0016,1,0017.png
18,pedestrian1,779.0,642.0,28.0,67.0,JAAD\scene\0016,1,0018.png
19,pedestrian1,778.0,641.0,31.0,67.0,JAAD\scene\0016,1,0019.png
20,pedestrian1,779.0,642.0,32.0,68.0,JAAD\scene\0016,1,0020.png
21,pedestrian1,780.0,642.0,34.0,68.0,JAAD\scene\0016,1,0021.png
22,pedestrian1,780.0,643.0,35.0,69.0,JAAD\scene\0016,1,0022.png
23,pedestrian1,781.0,643.0,37.0,69.0,JAAD\scene\0016,1,0023.png
24,pedestrian1,782.0,644.0,38.0,70.0,JAAD\scene\0016,1,0024.png
25,pedestrian1,784.0,644.0,34.0,71.0,JAAD\scene\0016,1,0025.png
26,pedestrian1,787.0,644.0,30.0,72.0,JAAD\scene\0016,1,0026.png
27,pedestrian1,789.0,645.0,26.0,73.0,JAAD\scene\0016,1,0027.png
28,pedestrian1,792.0,645.0,22.0,74.0,JAAD\scene\0016,1,0028.png
29,pedestrian1,794.0,645.0,18.0,75.0,JAAD\scene\0016,1,0029.png
30,pedestrian1,792.0,645.0,21.0,75.0,JAAD\scene\0016,1,0030.png
31,pedestrian1,790.0,646.0,24.0,76.0,JAAD\scene\0016,1,0031.png
32,pedestrian1,788.0,646.0,27.0,76.0,JAAD\scene\0016,1,0032.png
33,pedestrian1,786.0,647.0,30.0,77.0,JAAD\scene\0016,1,0033.png
34,pedestrian1,784.0,647.0,33.0,77.0,JAAD\scene\0016,1,0034.png
35,pedestrian1,785.0,647.0,33.0,78.0,JAAD\scene\0016,1,0035.png
36,pedestrian1,786.0,647.0,33.0,79.0,JAAD\scene\0016,1,0036.png
37,pedestrian1,786.0,648.0,33.0,79.0,JAAD\scene\0016,1,0037.png
